"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Nov-2016","25-Jan-2017","CE","9000","128.9","128.9","105.15","114.2","112.9","114.2","835","5708.57","72.32","79125","27600","-"
"NIFTY","02-Nov-2016","25-Jan-2017","CE","9000","100","110","80.9","83.35","86","83.35","1067","7272.63","70.38","112125","33000","-"
"NIFTY","03-Nov-2016","25-Jan-2017","CE","9000","81","83.65","69.1","71.35","70.8","71.35","951","6473.83","54.58","146550","34425","-"
"NIFTY","04-Nov-2016","25-Jan-2017","CE","9000","68.1","72.25","53.65","57.95","58.1","57.95","1410","9581.1","63.6","181725","35175","8433.75"
"NIFTY","07-Nov-2016","25-Jan-2017","CE","9000","70","75.5","64.45","66.25","65","66.25","919","6252.13","48.88","172950","-8775","8497.05"
"NIFTY","08-Nov-2016","25-Jan-2017","CE","9000","70","80.9","65.5","76.55","80.9","76.55","817","5558.85","44.1","191325","18375","8543.55"
"NIFTY","09-Nov-2016","25-Jan-2017","CE","9000","47.9","63.9","20","56","63.9","56","3912","26525.03","119.03","282975","91650","8432"
"NIFTY","10-Nov-2016","25-Jan-2017","CE","9000","76.2","86","61","70.2","70.65","70.2","1636","11134.27","91.27","284400","1425","8525.75"
"NIFTY","11-Nov-2016","25-Jan-2017","CE","9000","57","61","34.25","37.95","41.65","37.95","5022","34073.6","175.1","445800","161400","8296.3"
"NIFTY","15-Nov-2016","25-Jan-2017","CE","9000","38.35","38.35","21","22.65","23.05","22.65","3536","23934.78","66.78","540900","95100","8108.45"
"NIFTY","16-Nov-2016","25-Jan-2017","CE","9000","25.95","25.95","16.25","18","18","18","2231","15095.78","36.53","579000","38100","8111.6"
"NIFTY","17-Nov-2016","25-Jan-2017","CE","9000","18.95","20","12","13.9","15.55","13.9","4117","27837.37","47.62","610950","31950","8079.95"
"NIFTY","18-Nov-2016","25-Jan-2017","CE","9000","15.55","16.8","13.15","13.95","13.8","13.95","3190","21567.1","34.6","683025","72075","8074.1"
"NIFTY","21-Nov-2016","25-Jan-2017","CE","9000","14","14","9.4","9.95","11","9.95","3051","20618.93","24.68","697950","14925","7929.1"
"NIFTY","22-Nov-2016","25-Jan-2017","CE","9000","12.15","12.15","8.2","10.45","10.45","10.45","3020","20405.55","20.55","689325","-8625","8002.3"
"NIFTY","23-Nov-2016","25-Jan-2017","CE","9000","11","11","2.35","9.6","9.85","9.6","1799","12155.84","12.59","704400","15075","8033.3"
"NIFTY","24-Nov-2016","25-Jan-2017","CE","9000","8","9.35","7.55","7.95","7.95","7.95","2576","17403.79","15.79","785850","81450","7965.5"
"NIFTY","25-Nov-2016","25-Jan-2017","CE","9000","7.95","9.5","6.5","9.3","9.05","9.3","3883","26232.71","22.46","797700","11850","8114.3"
"NIFTY","28-Nov-2016","25-Jan-2017","CE","9000","9","10.45","8.1","9.45","9.2","9.45","1798","12149.43","12.93","811875","14175","8126.9"
"NIFTY","29-Nov-2016","25-Jan-2017","CE","9000","15","15","7.7","8.3","7.9","8.3","2486","16797.94","17.44","805875","-6000","8142.15"
"NIFTY","30-Nov-2016","25-Jan-2017","CE","9000","7.2","10.4","7.2","10.2","9.95","10.2","2344","15837.66","15.66","810000","4125","8224.5"
"NIFTY","01-Dec-2016","25-Jan-2017","CE","9000","10.55","10.85","8.05","8.25","8.2","8.25","1488","10054.18","10.18","805575","-4425","8192.9"
"NIFTY","02-Dec-2016","25-Jan-2017","CE","9000","6.35","8.65","6.35","7.5","8","7.5","3118","21063.46","16.96","823350","17775","8086.8"
"NIFTY","05-Dec-2016","25-Jan-2017","CE","9000","6.9","8.1","6.6","7.65","7.45","7.65","1785","12058.51","9.76","851775","28425","8128.75"
